period,minutes_remaining,seconds_remaning,action_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_made_flag,game_date,HTM,opponent
198,2,5,6,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,21,176,129,0,20091209,NJN,GSW
199,3,10,11,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091209,NJN,GSW
200,3,9,7,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091209,NJN,GSW
201,3,7,51,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091209,NJN,GSW
202,1,6,34,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,132,213,0,20091211,CHI,GSW
203,1,6,12,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091211,CHI,GSW
204,1,1,36,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,22,-166,151,1,20091211,CHI,GSW
205,1,1,7,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,-67,249,0,20091211,CHI,GSW
206,3,11,43,Running Jump Shot,Mid-Range,Right Side(R),8-16 ft.,11,110,0,1,20091211,CHI,GSW
207,3,6,14,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,105,222,0,20091211,CHI,GSW
208,3,4,12,Jump Shot,Mid-Range,Center(C),16-24 ft.,23,-4,233,0,20091211,CHI,GSW
209,3,3,22,Jump Shot,Mid-Range,Center(C),16-24 ft.,21,64,205,0,20091211,CHI,GSW
210,3,0,1,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091211,CHI,GSW
211,1,10,5,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091212,DET,GSW
212,1,9,59,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,26,-188,181,0,20091212,DET,GSW
213,1,7,59,Jump Shot,Left Corner 3,Left Side(L),24+ ft.,23,-232,47,1,20091212,DET,GSW
214,1,4,47,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,15,155,17,0,20091212,DET,GSW
215,1,1,7,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091212,DET,GSW
216,2,9,56,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,32,257,1,20091212,DET,GSW
217,3,9,3,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,20,-112,167,0,20091212,DET,GSW
218,4,10,29,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091212,DET,GSW
219,4,10,3,Jump Shot,Left Corner 3,Left Side(L),24+ ft.,24,-239,33,1,20091212,DET,GSW
220,4,1,2,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091212,DET,GSW
221,1,5,43,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,21,-146,156,0,20091214,PHI,GSW
222,1,3,48,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,26,-163,206,0,20091214,PHI,GSW
223,2,1,25,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091214,PHI,GSW
224,2,0,39,Step Back Jump shot,Mid-Range,Left Side Center(LC),16-24 ft.,17,-125,126,1,20091214,PHI,GSW
225,2,0,12,Jump Shot,Mid-Range,Center(C),16-24 ft.,19,12,190,0,20091214,PHI,GSW
226,3,10,46,Jump Shot,Above the Break 3,Center(C),24+ ft.,24,-27,246,0,20091214,PHI,GSW
